"COWID","ZONE_CODE","COUNT","AREA","MIN","MAX","RANGE","MEAN","STD","SUM","GWCODE"
380,52,660127,441946515876,0,1835.97790527,1835.97790527,84.3238865432,96.8147000933,55664474.2521,380
615,53,3474278,2325984329210,0,1595.0949707,1595.0949707,38.3711213765,74.1430913203,133311942.834,615
232,54,759,508140714.666,220.726074219,1458.31787109,1237.59179688,657.17174921,214.275783213,498793.357651,232
471,55,698066,467346187251,0,1664.00927734,1664.00927734,45.3696537297,77.1705140311,31671012.7005,471
482,56,930111,622697323134,0,715.346069336,715.346069336,17.7344898327,23.2897849118,16495044.0728,482
221,57,15,10042306.6139,307.449188232,801.220947266,493.771759033,533.353619385,155.209715787,8000.30429077,221
616,58,232190,155448211513,0,1023.36407471,1023.36407471,51.1909256837,73.6428015888,11886021.0345,616
434,59,174572,116873703347,0,570.827453613,570.827453613,13.3132972722,18.5529557783,2324128.93141,434
411,60,40118,26858483782.6,0,1139.15405273,1139.15405273,43.316370222,86.1683768688,1737766.14057,411
436,61,1775283,1188529080840,0,1300.9519043,1300.9519043,13.900250861,27.5590172387,24676879.0492,436
475,62,1365205,913987146726,0,1662.99694824,1662.99694824,26.2279655812,50.0906311139,35806549.7513,475
403,63,1480,990840919.243,0,1418.51501465,1418.51501465,176.442453268,176.908524438,261134.830836,403
461,64,85817,57453375112.6,0,1135.8371582,1135.8371582,26.2830407723,45.9352394936,2255531.70996,461
339,65,42623,28535548987.1,0,2010.53356934,2010.53356934,387.949641028,274.812502189,16535577.5496,339
325,66,447375,299511794761,0,2070.31225586,2070.31225586,243.02731986,257.770041832,108724347.222,325
338,67,396,265116894.608,12.7279224396,276.088745117,263.360822678,89.21332735,46.7260161722,35328.4776306,338
331,68,89,59584352.5761,52.2494010925,414.890350342,362.640949249,189.082798176,76.6101980695,16828.3690376,331
355,69,165911,111075275508,0,1443.16040039,1443.16040039,166.711900991,155.358837534,27659338.2053,355
352,70,13397,8969118780.47,0,1476.2956543,1476.2956543,269.085591033,237.720291866,3604939.66307,352
350,71,189780,127055263280,0,2621.50512695,2621.50512695,310.391096104,254.890349177,58906022.2186,350
660,72,15076,10093187634.1,0,1397.61254883,1397.61254883,273.40983577,187.237986318,4121926.68407,660
640,73,1163860,779189265047,0,3014.18286133,3014.18286133,260.87173245,247.302538264,303618174.529,640
305,74,125322,83901463298.2,0,2042.1348877,2042.1348877,396.450229122,335.605029632,49683935.6141,305
390,75,61623,41255804031.4,0,173.124237061,173.124237061,20.4212759669,16.6678500942,1258420.28891,390
310,76,138838,92950251044.5,0,696.108459473,696.108459473,42.488229997,57.4362860492,5898980.87633,310
290,77,464388,310901778923,0,1389.60852051,1389.60852051,32.8070004223,53.7212923787,15235177.3121,290
211,78,45682,30583510049.2,0,380.852996826,380.852996826,40.7798032163,43.2677264482,1862902.97053,211
220,79,815876,546218463397,0,2298.50024414,2298.50024414,113.394893989,174.96073952,92516172.5278,220
223,80,264,176744596.405,10.2469511032,1833.53808594,1823.29113483,565.185562062,424.538770335,149208.988384,223
212,81,3852,2578864338.46,6.0827627182,436.392028809,430.30926609,103.247592907,62.3345056884,397709.72788,212
210,82,51288,34336654774.4,0,204.663131714,204.663131714,3.87650648449,9.15533861778,198818.264577,210
225,83,61942,41469370418.7,0,2500.6262207,2500.6262207,527.040428781,394.469737632,32645938.2396,225
375,84,496336,332290553036,0,689.721679688,689.721679688,38.1278923077,34.1596674829,18924245.5564,375
360,85,354511,237340544001,0,1536.15759277,1536.15759277,151.042707796,155.377226736,53546301.3836,360
781,86,15,10042306.6139,0,0,0,0,0,0,781
698,87,462053,309338526526,0,2331.96655273,2331.96655273,71.3252038764,141.370554864,32956024.4267,698
520,88,954738,639184782132,0,2226.30102539,2226.30102539,38.6252805811,82.0521010606,36877023.1315,520
780,89,98386,65868158568,0,1828.81982422,1828.81982422,65.8832836129,116.414059071,6481992.74154,780
692,90,901,603207883.944,0,74.478187561,74.478187561,16.681765017,13.5140640184,15030.2702804,692
630,91,2427826,1625398206490,0,2767.52246094,2767.52246094,172.963518022,205.202529774,419925326.106,630
690,92,24949,16703033847.4,0,164.01524353,164.01524353,14.9054832675,10.1551041114,371876.902041,690
694,93,16393,10974902154.8,0,105.943382263,105.943382263,10.7319952053,8.53934524629,175929.5974,694
696,94,104998,70294807323.4,0,1853.21691895,1853.21691895,43.646958909,87.5834233656,4582843.39153,696
700,95,961246,643541804229,0,2887.18774414,2887.18774414,271.345199547,302.581787469,260829487.684,700
790,96,220637,147713626959,0,4449.29443359,4449.29443359,562.308880299,407.795531777,124066144.423,790
770,97,1312709,878841751526,0,3533.88867188,3533.88867188,215.269946534,357.138924619,282586796.245,770
771,98,205760,137753667259,0,1068.80541992,1068.80541992,23.8173719081,66.1808016691,4900662.44381,771
760,99,59740,39995159807.8,5.3851647377,2914.73999023,2909.3548255,769.208276095,314.134818122,45952502.4139,760
740,100,548481,367200958262,0,1739.234375,1739.234375,218.220980288,180.423029174,119690061.49,740
731,101,181715,121655849757,0,1787.31225586,1787.31225586,312.092647807,190.344389196,56711915.4963,731
840,102,432126,289302785857,0,2070.50976563,2070.50976563,227.984493723,216.050599113,98518027.3346,840
732,103,142385,95324921815.1,0,1163.98498535,1163.98498535,214.627820508,155.36527574,30559782.2231,732
811,104,272866,182680269101,0,1574.72595215,1574.72595215,61.5930321449,106.513373241,16806644.3093,811
812,105,345207,231111635952,0,2244.33837891,2244.33837891,292.377988636,218.68189487,100930928.323,812
775,106,999006,668821637412,0,2726.89648438,2726.89648438,228.292327183,242.364162071,228065404.61,775
800,107,767762,514006760703,0,2019.40686035,2019.40686035,120.86136169,155.349989599,92792760.7741,800
816,108,485583,325091558168,0,2299.25024414,2299.25024414,238.987270266,246.398995614,116048155.658,816
571,109,868012,581122843239,0,700.178527832,700.178527832,11.1703578982,17.4270625748,9696004.6999,571
516,110,40882,27369971932.8,0,1070.99902344,1070.99902344,133.511730453,120.580666207,5458226.56439,516
501,111,874470,585446390980,0,3461.29418945,3461.29418945,55.3555860052,98.2873285108,48406799.294,501
517,112,37795,25303265231.6,0,2803.79956055,2803.79956055,217.281279777,137.647563648,8212145.96916,517
510,113,1413891,946581796047,0,2285.38745117,2285.38745117,53.8853925459,82.6006136527,76188071.5522,510
551,114,1129867,756431389799,0,1354.03918457,1354.03918457,35.9137298409,52.4850816685,40577738.1941,551
552,115,585433,391939845862,0,1380.38146973,1380.38146973,67.6507724201,88.1322156496,39604994.6502,552
581,116,2370,1586684445,0,1075.50732422,1075.50732422,327.858875591,189.280285152,777025.535151,581
570,117,45735,30618992865.9,12.0415945053,1474.48095703,1462.43936253,356.88547158,185.110871015,16322157.0427,570
553,118,178081,119222933608,0,2430.23095703,2430.23095703,68.6287668406,109.96067845,12221479.4277,553
541,119,1179097,789390240106,0,1981.96240234,1981.96240234,47.6382329057,73.1361762878,56170097.5044,541
572,120,25668,17184395077.8,6.40312433243,1346.07202148,1339.66889715,177.25351471,130.264281552,4549743.21558,572
540,121,1871680,1253065629550,0,1507.07568359,1507.07568359,56.2086144523,69.8308184876,105204539.498,540
484,122,517182,346246681281,0,1052.27368164,1052.27368164,15.1033151412,27.2834110936,7811162.73136,484
490,123,3498160,2341973020310,0,1603.42724609,1603.42724609,33.8599916267,58.4084528304,118447668.309,490
950,124,24891,16664203595.2,0,1855.58666992,1855.58666992,133.00086259,127.753511357,3310524.47074,950
481,125,391114,261845780600,0,2180.18188477,2180.18188477,20.0354216468,32.1862159692,7836133.90198,481
920,126,392556,262811181010,0,3488.29345703,3488.29345703,270.081941163,266.642382172,106022286.495,920
580,127,885440,592790664550,0,1519.92004395,1519.92004395,99.3139034679,103.718603714,87936502.6866,580
590,128,2923,1956910815.5,0,1174.88464355,1174.88464355,80.1770986422,101.863090799,234357.659331,590
591,129,356,238337410.304,0,717.020935059,717.020935059,142.216123002,182.851342322,50628.9397888,591
900,130,11500394,7699365515280,0,4106.42578125,4106.42578125,15.9829189723,49.4665034701,183809865.452,900
970,131,26,17406664.7975,3,123.345046997,120.345046997,31.7917761803,26.5571645686,826.586180687,971
910,132,686979,459923583690,0,5347.23681641,5347.23681641,151.158977728,222.72044544,103843043.361,910
20,133,14749990,9874928142180,0,3214.06347656,3214.06347656,93.8339373379,182.11706494,1384049637.4,20
260,134,368740,246866676055,0,2553.44604492,2553.44604492,81.1537812251,105.440951806,29924645.2889,260
265,135,162422,108739434990,0,468.102539063,468.102539063,35.5859258383,45.7191281061,5779937.2465,265
315,136,190522,127552022714,0,1623.81774902,1623.81774902,134.935550784,124.395683719,25708191.0066,315
345,137,380295,254602599583,0,2099.88574219,2099.88574219,215.887573694,199.53299459,82100964.838,345
365,138,32800506,21959515889600,0,3258.00268555,3258.00268555,105.994371593,160.486174834,3476669021.4,365
530,139,1875688,1255748933870,0,2071.38183594,2071.38183594,125.998060938,161.779601148,236333050.924,530
560,140,3065396,2052243101680,0,2035.88952637,2035.88952637,84.4699359633,117.128049123,258933803.822,560
